	Domain	Supergroup	Division	Subdivision	Class	Order	Family	Genus	Species
18S_ASV_5182	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	NA	NA
18S_ASV_5183	Eukaryota	TSAR	Stramenopiles	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Psammodictyon	Psammodictyon_panduriforme
18S_ASV_5184	Eukaryota	Obazoa	Opisthokonta	Metazoa	Porifera	Porifera_X	Demospongiae	Janulum	Janulum_spinispiculum
18S_ASV_5185	Eukaryota	Obazoa	Opisthokonta	Metazoa	NA	NA	NA	NA	NA
18S_ASV_5186	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	NA	NA
18S_ASV_5187	Eukaryota	Obazoa	Opisthokonta	Metazoa	Porifera	Porifera_X	Demospongiae	Janulum	Janulum_spinispiculum
18S_ASV_5188	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Ulvophyceae	Cladophorales	Cladophorales_X	NA	NA
18S_ASV_5189	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium_sp.
18S_ASV_5190	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium_sp.
18S_ASV_5191	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	Breviolum_sp.
